index,n
84a2407ffffffff-2023-09,1
84a2421ffffffff-2014-02,2
84a2421ffffffff-2014-07,1
84a2421ffffffff-2016-01,1
84a2421ffffffff-2016-04,2
84a2421ffffffff-2016-05,1
84a2421ffffffff-2017-11,2
84a2421ffffffff-2018-11,2
84a2421ffffffff-2018-12,3
84a2421ffffffff-2019-06,2
84a2421ffffffff-2019-07,5
84a2421ffffffff-2019-08,5
84a2421ffffffff-2019-09,2
84a2421ffffffff-2019-12,1
84a2421ffffffff-2020-02,1
84a2421ffffffff-2021-07,2
84a2421ffffffff-2021-08,3
84a2421ffffffff-2021-10,2
84a2421ffffffff-2021-11,5
84a2421ffffffff-2021-12,2
84a2421ffffffff-2022-02,9
84a2421ffffffff-2022-04,2
84a2421ffffffff-2022-08,2
84a2421ffffffff-2022-10,1
84a2421ffffffff-2022-11,4
84a2421ffffffff-2022-12,2
84a2421ffffffff-2023-01,1
84a2421ffffffff-2023-02,3
84a2421ffffffff-2023-03,2
84a2421ffffffff-2023-04,2
84a2421ffffffff-2023-06,2
84a2421ffffffff-2023-07,4
84a2421ffffffff-2023-08,8
84a2421ffffffff-2023-09,2
84a2421ffffffff-2023-10,4
84a2423ffffffff-2012-02,1
84a2423ffffffff-2012-12,1
84a2423ffffffff-2013-06,2
84a2423ffffffff-2013-12,2
84a2423ffffffff-2014-01,1
84a2423ffffffff-2014-02,3
84a2423ffffffff-2014-12,7
84a2423ffffffff-2015-02,2
84a2423ffffffff-2015-05,1
84a2423ffffffff-2015-07,1
84a2423ffffffff-2015-09,2
84a2423ffffffff-2015-10,19
84a2423ffffffff-2015-11,6
84a2423ffffffff-2015-12,1
84a2423ffffffff-2016-03,3
84a2423ffffffff-2016-05,2
84a2423ffffffff-2016-07,1
84a2423ffffffff-2016-08,1
84a2423ffffffff-2016-11,2
84a2423ffffffff-2017-04,1
84a2423ffffffff-2017-06,3
84a2423ffffffff-2017-08,3
84a2423ffffffff-2017-10,12
84a2423ffffffff-2017-11,2
84a2423ffffffff-2018-02,1
84a2423ffffffff-2018-04,2
84a2423ffffffff-2018-08,1
84a2423ffffffff-2018-09,3
84a2423ffffffff-2018-10,6
84a2423ffffffff-2018-11,4
84a2423ffffffff-2018-12,6
84a2423ffffffff-2019-02,1
84a2423ffffffff-2019-05,4
84a2423ffffffff-2019-06,1
84a2423ffffffff-2019-07,8
84a2423ffffffff-2019-08,19
84a2423ffffffff-2019-09,8
84a2423ffffffff-2019-11,6
84a2423ffffffff-2019-12,2
84a2423ffffffff-2020-02,2
84a2423ffffffff-2021-10,2
84a2423ffffffff-2021-11,8
84a2423ffffffff-2022-02,5
84a2423ffffffff-2022-03,1
84a2423ffffffff-2022-04,2
84a2423ffffffff-2022-05,2
84a2423ffffffff-2022-07,3
84a2423ffffffff-2022-08,6
84a2423ffffffff-2022-10,14
84a2423ffffffff-2022-11,5
84a2423ffffffff-2022-12,10
84a2423ffffffff-2023-01,5
84a2423ffffffff-2023-02,6
84a2423ffffffff-2023-04,4
84a2423ffffffff-2023-05,2
84a2423ffffffff-2023-06,6
84a2423ffffffff-2023-07,4
84a2423ffffffff-2023-08,17
84a2423ffffffff-2023-09,11
84a2423ffffffff-2023-10,13
84a2423ffffffff-2023-11,15
84a242bffffffff-2012-02,1
84a242bffffffff-2012-11,1
84a242bffffffff-2013-04,1
84a242bffffffff-2013-12,1
84a242bffffffff-2014-07,1
84a242bffffffff-2014-12,1
84a242bffffffff-2015-02,4
84a242bffffffff-2015-09,1
84a242bffffffff-2016-03,5
84a242bffffffff-2016-06,1
84a242bffffffff-2016-07,3
84a242bffffffff-2017-06,9
84a242bffffffff-2017-10,4
84a242bffffffff-2017-11,3
84a242bffffffff-2018-02,1
84a242bffffffff-2018-04,1
84a242bffffffff-2018-10,1
84a242bffffffff-2018-11,2
84a242bffffffff-2018-12,1
84a242bffffffff-2019-01,2
84a242bffffffff-2019-02,3
84a242bffffffff-2019-03,1
84a242bffffffff-2019-05,2
84a242bffffffff-2019-07,4
84a242bffffffff-2019-08,1
84a242bffffffff-2019-09,5
84a242bffffffff-2019-10,1
84a242bffffffff-2020-02,2
84a242bffffffff-2021-05,3
84a242bffffffff-2021-10,1
84a242bffffffff-2021-11,14
84a242bffffffff-2022-01,1
84a242bffffffff-2022-04,1
84a242bffffffff-2022-05,1
84a242bffffffff-2022-06,1
84a242bffffffff-2022-11,4
84a242bffffffff-2022-12,9
84a242bffffffff-2023-02,3
84a242bffffffff-2023-03,1
84a242bffffffff-2023-04,2
84a242bffffffff-2023-06,2
84a242bffffffff-2023-07,3
84a242bffffffff-2023-08,18
84a242bffffffff-2023-09,4
84a242bffffffff-2023-10,1
84a242bffffffff-2023-11,7
84a243dffffffff-2015-05,1
84a243dffffffff-2015-09,1
84a243dffffffff-2015-10,2
84a243dffffffff-2015-11,1
84a243dffffffff-2016-05,2
84a243dffffffff-2016-07,1
84a243dffffffff-2019-03,1
84a243dffffffff-2019-05,1
84a243dffffffff-2019-07,2
84a243dffffffff-2019-08,2
84a243dffffffff-2019-11,9
84a243dffffffff-2020-02,1
84a243dffffffff-2021-11,1
84a243dffffffff-2022-10,2
84a243dffffffff-2022-11,3
84a243dffffffff-2022-12,1
84a243dffffffff-2023-03,1
84a243dffffffff-2023-04,2
84a243dffffffff-2023-08,1
84a243dffffffff-2023-09,2
84a243dffffffff-2023-10,3
